Rk,Name,Pos,Age,Team,Game,GS,3P%,FT%,STL,PER,TS%,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,VORP,EFF,GmSc,FG,3P,3PA,ORB,DRB,AST,BLK,PTS,last_year_salary
32,Keita Bates-Diop,F,23,MIN,2,0,0,,0,-1.1,0.25,0,8.9,0,0,4.7,0,18.7,-0.1,3,0.4,2,0,4,0,3,0,1,4,
33,Nicolas Batum,F,30,CHO,41,41,0.396,0.86,36,11.4,0.575,3,9,14.9,1.4,1.2,17.1,12.9,0.8,12.87804878,334.7,135,55,139,36,175,139,17,362,24000000
34,Jerryd Bayless,G,30,MIN,6,0,0.273,0.333,2,1.4,0.314,1.9,4.7,23,1.7,0,18.3,20.2,-0.1,3.333333333,4.4,5,3,11,1,4,10,0,14,8575916
35,Aron Baynes,C,32,BOS,25,9,0.324,0.861,4,15.2,0.572,11.6,15.9,11.6,0.5,2.8,13.1,16.8,0.2,7.68,121.5,47,12,37,39,67,30,11,137,5193600
36,Kent Bazemore,G,29,ATL,35,30,0.327,0.752,60,14.6,0.546,2.2,7.7,14.7,2.9,2.9,14,22.1,0.5,13.74285714,355.2,177,54,165,20,119,92,32,490,18089887
37,Bradley Beal,G,25,WAS,43,43,0.352,0.8,56,19.5,0.574,3,7.3,21.6,1.7,1.9,11.1,27.8,1.5,20.72093023,752.8,391,108,307,44,164,207,35,1050,25434263
38,Malik Beasley,G,22,DEN,40,2,0.389,0.909,26,13.4,0.581,2,6.4,8.3,1.5,0.6,6.3,17.3,0.3,9.375,272.6,148,65,167,16,86,50,6,381,1773840
39,Michael Beasley,F,30,LAL,15,0,0.25,0.714,5,19.3,0.603,2.8,9.6,12.8,1.6,2.6,14.1,29.6,0,5.533333333,69.8,46,3,12,4,24,11,5,110,3500000
40,Marco Belinelli,G,32,SAS,42,0,0.378,0.882,21,12.6,0.548,1.1,5.7,11.7,1.1,0.5,7.8,20.2,0.2,9.238095238,282,145,76,201,9,87,77,6,426,6153846
41,Jordan Bell,C,24,GSW,40,1,0,0.667,14,13.5,0.554,7.2,12.6,13.4,1.5,6,17.5,11.3,0.4,5.65,134.7,48,0,1,29,76,48,32,110,0
