Rk,Name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,EFF,GmSc,last_year_salary,PID,Jersey
78,Jimmy Butler,G,29,PHI,34,34,1130,233,495,0.471,44,116,0.379,189,379,0.499,0.515,154,184,0.837,60,108,168,121,70,21,53,61,664,20.9,0.576,0.234,0.372,5.8,10.1,7.9,16.7,2.9,1.5,8.4,23.5,2.7,1.3,4,0.169,2.7,0.3,3,1.4,17.76470588,565.1,20445779,202710,23
79,Jose Calderon,G,37,DET,34,0,502,35,102,0.343,9,47,0.191,26,55,0.473,0.387,5,7,0.714,9,41,50,89,14,3,27,50,84,6.2,0.4,0.461,0.069,1.8,9.3,5.4,24.2,1.4,0.5,20.4,11.1,-0.2,0.4,0.2,0.016,-4.5,-0.6,-5.1,-0.4,5.088235294,75.8,2393887,101181,81
80,Kentavious Caldwell-Pope,G,25,LAL,43,4,999,143,336,0.426,70,193,0.363,73,143,0.51,0.53,77,87,0.885,21,93,114,46,34,5,27,70,433,12.6,0.578,0.574,0.259,2.2,9.3,5.8,6.2,1.6,0.4,6.7,16.7,1.3,1,2.3,0.112,0.5,-1,-0.5,0.4,8.953488372,308.3,12000000,203484,1
82,Clint Capela,C,24,HOU,41,41,1399,307,487,0.63,0,0,,307,487,0.63,0.63,108,172,0.628,204,314,518,59,25,77,65,110,722,24.8,0.642,0,0.353,16,26.2,21,7.4,0.9,4.6,10.4,19.7,4.8,1.5,6.3,0.218,1.8,1.3,3.1,1.8,22.46341463,726.5,15293104,203991,15
83,DeMarre Carroll,F,32,BKN,32,0,767,104,262,0.397,52,146,0.356,52,116,0.448,0.496,80,103,0.777,30,124,154,34,11,3,35,52,340,12.1,0.553,0.557,0.393,4.2,17.7,10.9,6.5,0.7,0.3,10.2,19.2,0.7,0.5,1.2,0.076,-0.8,-2,-2.7,-0.1,10.09375,228.3,15400000,201960,9
84,Jevon Carter,G,23,MEM,8,0,118,10,37,0.27,4,21,0.19,6,16,0.375,0.324,0,0,,0,10,10,14,8,1,7,17,24,2.7,0.324,0.568,0,0,9.9,4.9,17.3,3.4,0.8,15.9,17.2,-0.4,0.2,-0.2,-0.086,-6.9,0.4,-6.5,-0.1,5,9.8,838464,1628975,3
85,Vince Carter,F,42,ATL,39,8,673,97,241,0.402,59,159,0.371,38,82,0.463,0.525,20,26,0.769,17,93,110,38,25,13,27,71,273,10.9,0.541,0.66,0.108,2.6,15,8.7,8.2,1.7,1.7,9.7,16.9,0.3,0.5,0.8,0.054,-1.3,-1,-2.3,0,8.076923077,185.8,2393887,1713,15
86,Wendell Carter,C,19,CHI,42,42,1052,174,353,0.493,6,30,0.2,168,323,0.52,0.501,88,110,0.8,82,206,288,74,24,56,62,145,442,15.9,0.551,0.085,0.312,8.5,21.5,15,11.3,1.1,4.6,13.4,19.6,0.8,1.2,1.9,0.089,-2.2,2.1,-0.1,0.5,13.33333333,369.9,4441200,1628976,34
87,Michael Carter-Williams,G,27,CHI,16,1,145,25,61,0.41,7,19,0.368,18,42,0.429,0.467,12,26,0.462,3,10,13,21,9,6,10,27,69,13,0.476,0.311,0.426,2.3,8,5.1,23.3,3.1,3.5,12.1,25,0,0.2,0.1,0.039,-2.9,-0.6,-3.5,-0.1,4.4375,42.9,1200000,203487,
88,Alex Caruso,G,24,LAL,2,0,5,0,0,,0,0,,0,0,,,0,0,,1,0,1,0,0,0,0,2,0,1.8,21,0,10.2,0,0,0,0,0,0,0,0.116,-1.8,-1.3,-3.1,0,,,,,0.5,-0.1,0,1627936,4
89,Omri Casspi,F,30,MEM,29,0,356,57,105,0.543,10,29,0.345,47,76,0.618,0.59,27,44,0.614,11,74,85,22,10,6,14,24,151,16.3,0.607,0.276,0.419,3.5,24.4,13.7,10.1,1.4,1.6,10.1,17.9,0.5,0.5,1,0.133,-1.8,0.3,-1.5,0,6.068965517,129.4,2176260,201956,18
90,Willie Cauley-Stein,C,25,SAC,42,42,1199,247,470,0.526,1,1,1,246,469,0.525,0.527,78,147,0.531,98,274,372,111,48,28,53,125,573,17.9,0.536,0.002,0.313,8.3,24.3,16.1,13.2,1.9,2,9,20.3,1.6,1.4,3,0.12,-0.5,1.7,1.2,1,17.95238095,508.3,4696875,1626161,00
91,Troy Caupain,G,23,ORL,2,0,9,2,4,0.5,1,2,0.5,1,2,0.5,0.625,0,0,,0,2,2,3,1,0,0,0,5,33.4,0.625,0.5,0,0,24.6,12,57.4,5.5,0,0,19.7,0.1,0,0.1,0.389,9.8,2,11.8,0,4.5,6.7,,1628505,3
92,Tyler Cavanaugh,F,24,UTA,2,0,4,0,1,0,0,1,0,0,0,,0,0,0,,1,0,1,0,0,0,0,0,0,0,0,1,0,27.6,0,13.7,0,0,0,0,10.8,0,0,0,-0.108,-5.1,-5.2,-10.4,0,0.5,0,0,1628463,34
93,Tyson Chandler,C,36,LAL,38,2,689,51,84,0.607,0,1,0,51,83,0.614,0.607,42,67,0.627,79,175,254,31,19,16,32,89,144,12.4,0.634,0.012,0.798,12.1,26,19.2,5.6,1.3,1.8,22,8.8,0.9,1,2,0.138,-2.2,2.1,-0.2,0.3,8.921052632,187.7,2393887,2199,5
94,Wilson Chandler,F,31,PHI,28,24,716,67,159,0.421,30,82,0.366,37,77,0.481,0.516,10,14,0.714,35,94,129,55,14,12,28,75,174,8.4,0.527,0.516,0.088,5.4,13.7,9.6,10.2,0.9,1.3,14.5,11.4,0.3,0.6,0.9,0.061,-1.5,0.2,-1.3,0.1,9.964285714,143.5,12800562,201163,22
95,Marquese Chriss,F,21,HOU,11,0,69,10,28,0.357,1,12,0.083,9,16,0.563,0.375,2,3,0.667,6,11,17,5,2,3,7,13,23,5.8,0.392,0.429,0.107,9.6,18.6,13.9,11.2,1.4,3.7,19.3,23.1,-0.2,0.1,-0.1,-0.088,-7.1,-0.4,-7.4,-0.1,2.818181818,9.9,3206160,1627737,0
96,Gary Clark,F,24,HOU,28,0,425,30,93,0.323,25,84,0.298,5,9,0.556,0.457,6,6,1,15,60,75,14,11,17,2,31,91,9.1,0.476,0.903,0.065,3.9,16.5,10,4.6,1.3,3.4,2,10.1,0.3,0.3,0.6,0.069,-1.9,0.4,-1.5,0.1,6.071428571,84.7,,1629109,6
97,Ian Clark,G,27,NOP,30,0,405,43,119,0.361,18,58,0.31,25,61,0.41,0.437,11,12,0.917,5,38,43,39,7,4,22,43,115,5.5,0.463,0.487,0.101,1.3,9.8,5.7,12,0.8,0.8,15,14.9,-0.3,0.1,-0.2,-0.018,-3.5,-2.2,-5.6,-0.4,4.4,61.3,1757429,203546,2
98,Jordan Clarkson,G,26,CLE,42,0,1114,285,624,0.457,75,222,0.338,210,402,0.522,0.517,75,88,0.852,40,98,138,94,33,9,71,70,720,17.8,0.543,0.356,0.141,3.9,10.3,6.9,15.4,1.5,0.7,9.7,29.1,1,-0.1,0.8,0.036,1.9,-3.9,-2,0,13.4047619,455.5,12500000,203903,8
99,John Collins,F,21,ATL,26,24,779,202,347,0.582,21,59,0.356,181,288,0.628,0.612,71,100,0.71,103,171,274,60,6,11,59,85,496,21.8,0.634,0.17,0.288,13.6,23.9,18.6,13.4,0.4,1.2,13.1,23.5,2,0.5,2.4,0.151,2.8,-1.1,1.7,0.7,19.80769231,408.4,2299080,1628381,20
100,Zach Collins,C,21,POR,43,0,812,117,237,0.494,23,73,0.315,94,164,0.573,0.542,55,69,0.797,56,131,187,40,16,37,47,107,312,13.8,0.583,0.308,0.291,7.4,16.4,12.1,7,1,3.6,15,16.5,0.9,1,1.8,0.109,-0.8,1.3,0.4,0.5,8.674418605,245.9,3628920,1628380,33
101,Darren Collison,G,31,IND,42,42,1153,143,315,0.454,38,101,0.376,105,214,0.491,0.514,58,74,0.784,19,98,117,235,62,7,60,77,382,14.9,0.55,0.321,0.235,1.9,9.3,5.7,27.3,2.6,0.5,14.7,15.5,1.7,1.7,3.3,0.139,0.3,0.3,0.6,0.8,12.9047619,395.6,10000000,201954,2
102,Mike Conley,G,31,MEM,40,40,1355,270,648,0.417,86,246,0.35,184,402,0.458,0.483,179,212,0.844,23,110,133,249,52,16,71,67,805,20.1,0.543,0.38,0.327,1.9,9.5,5.6,32.1,1.9,1.1,8.7,27.6,2.4,1.5,3.9,0.137,3.6,-1.1,2.5,1.5,18.375,635,30521116,201144,11
103,Pat Connaughton,G,26,MIL,26,1,487,61,149,0.409,25,89,0.281,36,60,0.6,0.493,14,20,0.7,23,76,99,55,13,15,11,32,161,13.4,0.51,0.597,0.134,5.2,15.3,10.5,14.6,1.3,2.7,6.5,14.6,0.6,0.8,1.4,0.135,-0.1,1.5,1.5,0.4,9.884615385,155.8,1641000,1626192,24
104,Quinn Cook,G,25,GSW,37,8,572,115,241,0.477,46,106,0.434,69,135,0.511,0.573,14,18,0.778,12,74,86,65,14,3,30,51,290,14.7,0.583,0.44,0.075,2.4,13.6,8.2,16.3,1.2,0.4,10.8,20.9,0.7,0.4,1.1,0.095,0.7,-2.6,-1.8,0,8.081081081,207.5,1544951,1626188,4
105,Robert Covington,F,28,MIN,35,35,1203,156,362,0.431,85,225,0.378,71,137,0.518,0.548,68,89,0.764,28,165,193,46,74,47,47,126,465,13.5,0.58,0.622,0.246,2.5,14.6,8.6,5.3,2.9,3.2,10.5,15.7,0.9,1.7,2.6,0.104,0.6,2.1,2.7,1.4,15.82857143,376.4,10464092,203496,33
106,Allen Crabbe,G,26,BKN,28,15,732,85,248,0.343,65,168,0.387,20,80,0.25,0.474,30,38,0.789,13,84,97,30,17,8,32,68,265,7.5,0.501,0.677,0.153,1.9,12.5,7.2,5.8,1.1,0.8,10.8,17.4,-0.2,0.5,0.2,0.016,-2,-1.2,-3.3,-0.2,9.642857143,140.9,18500000,203459,33
107,Torrey Craig,F,28,DEN,35,29,772,81,190,0.426,29,97,0.299,52,93,0.559,0.503,21,34,0.618,56,88,144,34,16,18,27,88,212,9.4,0.517,0.511,0.179,7.8,12.4,10.1,5.8,1,2.1,11.6,12.8,0.5,0.8,1.2,0.075,-1.1,0.3,-0.8,0.2,8.428571429,162,2000000,1628470,3
108,Jamal Crawford,G,38,PHX,37,0,635,82,233,0.352,27,96,0.281,55,137,0.401,0.41,48,57,0.842,6,38,44,119,14,7,56,46,239,8.7,0.463,0.412,0.245,1.1,6.9,3.9,26.9,1.1,0.9,17.8,21.5,-0.7,0.1,-0.6,-0.046,-3.9,-4.1,-8,-0.9,6.405405405,148.5,2304226,2037,11
109,Jae Crowder,F,28,UTA,42,6,1150,166,406,0.409,85,255,0.333,81,151,0.536,0.514,92,126,0.73,29,171,200,68,30,17,39,83,509,13,0.552,0.628,0.31,2.8,16.2,9.5,8.8,1.3,1.2,7.8,18.8,1.1,1.5,2.6,0.109,0.5,0.3,0.8,0.8,12.54761905,366.5,7305825,203109,99
110,Dante Cunningham,F,31,SAS,39,21,694,54,119,0.454,25,52,0.481,29,67,0.433,0.559,10,12,0.833,39,118,157,37,21,12,18,56,143,10.5,0.575,0.437,0.101,6.3,18.4,12.4,6.7,1.5,1.5,12.7,9.1,0.7,0.8,1.5,0.101,-0.4,1.4,1,0.5,7.384615385,158.1,2500000,201967,33
111,Seth Curry,G,28,POR,37,1,639,81,188,0.431,52,106,0.491,29,82,0.354,0.569,7,7,1,10,38,48,31,13,4,29,48,221,8.6,0.578,0.564,0.037,1.7,6.1,3.9,6.7,1,0.5,13.2,14.7,0.3,0.4,0.7,0.051,-0.8,-1.6,-2.3,-0.1,5.405405405,129.5,2795000,203552,31
112,Stephen Curry,G,30,GSW,31,31,1070,299,614,0.487,156,352,0.443,143,262,0.546,0.614,140,153,0.915,21,139,160,173,40,10,97,78,894,25.8,0.656,0.573,0.249,2.2,13.6,8.1,26.2,1.8,0.8,12.5,31.2,3.8,1,4.7,0.211,8.6,-2,6.6,2.3,23.90322581,674.9,37457154,201939,30
113,Troy Daniels,G,27,PHX,19,0,272,41,100,0.41,30,76,0.395,11,24,0.458,0.56,8,9,0.889,5,19,24,9,13,1,14,27,120,10.8,0.577,0.76,0.09,2.1,8,5,4.9,2.3,0.3,11.9,18.9,0,0.1,0.1,0.026,-0.2,-3.1,-3.3,-0.1,5.473684211,70.4,3258539,203584,30
114,Anthony Davis,C,25,NOP,37,37,1368,384,747,0.514,35,109,0.321,349,638,0.547,0.537,267,332,0.804,124,366,490,164,66,99,75,92,1070,31.2,0.599,0.146,0.444,9.9,27.8,19.1,19.1,2.3,6,7.7,29.2,5.5,2.2,7.8,0.273,5.6,4,9.6,4,31.43243243,1009.6,25434263,203076,23
115,Ed Davis,C,29,BKN,43,1,785,104,168,0.619,0,2,0,104,166,0.627,0.619,44,80,0.55,130,240,370,31,24,16,35,123,252,18,0.62,0.012,0.476,17.8,33.4,25.5,5.8,1.5,1.6,14.7,13,1.8,1.1,2.9,0.18,-0.5,1.2,0.6,0.5,11.86046512,297.3,4449000,202334,17
117,Dewayne Dedmon,C,29,ATL,34,23,837,126,270,0.467,36,100,0.36,90,170,0.529,0.533,46,54,0.852,53,204,257,47,35,34,50,113,334,14.2,0.568,0.37,0.2,6.5,26.5,16.3,8.2,1.9,3.5,14.5,16.7,0.5,1.1,1.6,0.091,-2,1.7,-0.3,0.4,14.26470588,287,7200000,203473,14
118,Sam Dekker,F,24,WAS,25,5,428,76,145,0.524,10,30,0.333,66,115,0.574,0.559,15,24,0.625,27,57,84,23,27,4,11,26,177,17,0.569,0.207,0.166,6.8,15.2,10.9,8.2,3.1,0.8,6.6,16.8,0.6,0.3,0.9,0.104,-0.1,-0.5,-0.6,0.2,8.52,162.8,2760095,1626155,8
119,Matthew Dellavedova,G,28,CLE,26,0,368,51,110,0.464,26,61,0.426,25,49,0.51,0.582,17,19,0.895,1,31,32,84,6,0,37,35,145,13,0.613,0.555,0.173,0.3,9.3,4.8,32.9,0.8,0,23.8,18.5,0.5,0,0.5,0.059,-0.4,-4.9,-5.3,-0.3,6.230769231,111.4,9607500,203521,18
120,Luol Deng,F,33,MIN,4,0,32,5,13,0.385,0,5,0,5,8,0.625,0.385,2,3,0.667,6,6,12,1,3,1,2,3,12,16.3,0.419,0.385,0.231,19.8,20.2,20,4.5,4.5,2.7,12.3,21.5,0,0.1,0,0.058,-2,0.7,-1.3,0,5,11.7,2393887,2736,9
121,DeMar DeRozan,G,29,SAS,43,43,1518,364,777,0.468,7,40,0.175,357,737,0.484,0.473,218,263,0.829,32,234,266,278,45,21,108,97,953,20.2,0.534,0.051,0.338,2.3,16.6,9.6,29.1,1.5,1.2,10.8,29.1,2.3,1.5,3.8,0.119,1,0.5,1.5,1.3,20.30232558,736.8,27739975,201942,10
122,Marcus Derrickson,F,22,GSW,6,0,34,6,15,0.4,2,7,0.286,4,8,0.5,0.467,3,4,0.75,2,2,4,0,0,1,3,8,17,5.1,0.507,0.467,0.267,6.6,6.2,6.4,0,0,2.5,15.2,24.9,0,0,0,-0.051,-5.9,-7,-12.9,-0.1,1.666666667,5,,1629094,32
123,Cheick Diallo,F,22,NOP,29,0,274,39,67,0.582,0,1,0,39,66,0.591,0.582,18,24,0.75,25,77,102,9,11,13,19,36,96,15.4,0.619,0.015,0.358,10,29.2,19.8,4.3,1.9,3.9,19.7,14.6,0.2,0.4,0.6,0.112,-3.1,1.2,-1.9,0,5.344827586,95.9,1544951,1627767,13
124,Hamidou Diallo,G,20,OKC,35,2,425,67,137,0.489,4,21,0.19,63,116,0.543,0.504,29,45,0.644,30,50,80,15,16,9,19,64,167,11.9,0.533,0.153,0.328,7.2,12.4,9.7,4.9,1.8,1.8,10.8,16.8,0.3,0.7,0.9,0.107,-3.3,0.3,-3,-0.1,4.914285714,115.7,838464,1628977,6
125,Gorgui Dieng,C,29,MIN,42,0,585,90,185,0.486,9,29,0.31,81,156,0.519,0.511,45,52,0.865,37,136,173,34,21,25,30,81,234,15.2,0.563,0.157,0.281,6.7,25.1,15.8,8.3,1.7,3.6,12.6,17.1,0.6,0.8,1.4,0.114,-2.2,1.6,-0.7,0.2,7.666666667,204.3,15170787,203476,5
126,Spencer Dinwiddie,G,25,BKN,44,4,1252,240,528,0.455,84,231,0.364,156,297,0.525,0.534,179,225,0.796,19,91,110,222,27,10,99,123,743,17.7,0.593,0.438,0.426,1.6,7.9,4.8,28.4,1.1,0.6,13.6,24.9,2.9,0.6,3.5,0.134,3,-2.6,0.4,0.8,13.5,532.8,1656092,203915,8
127,Donte DiVincenzo,G,22,MIL,23,0,358,42,107,0.393,17,69,0.246,25,38,0.658,0.472,9,11,0.818,13,43,56,27,12,6,18,34,110,8.6,0.492,0.645,0.103,4,11.8,8.1,9.7,1.6,1.5,13.9,15.3,-0.1,0.5,0.4,0.057,-2.4,0.5,-1.9,0,6.173913043,76.6,2481000,1628978,9
128,Luka Doncic,F,19,DAL,41,41,1314,269,619,0.435,98,266,0.368,171,353,0.484,0.514,186,253,0.735,44,231,275,207,46,11,132,75,822,18.6,0.563,0.43,0.409,3.7,18.4,11.3,26.3,1.7,0.7,15.3,27.9,1.5,1.6,3.1,0.115,2.5,0.7,3.2,1.7,18.87804878,606.2,6560640,1629029,77
129,Tyler Dorsey,G,22,ATL,22,0,225,29,82,0.354,8,35,0.229,21,47,0.447,0.402,15,24,0.625,9,32,41,16,7,1,10,18,81,7.8,0.438,0.427,0.293,4.1,15.5,9.6,10.1,1.4,0.4,9.8,18.5,-0.2,0.1,-0.1,-0.014,-4.6,-2.2,-6.8,-0.3,4.181818182,49.2,1378242,1628416,2
130,Damyean Dotson,G,24,NYK,33,9,824,123,282,0.436,45,125,0.36,78,157,0.497,0.516,27,36,0.75,23,98,121,39,32,4,23,59,318,11.9,0.534,0.443,0.128,2.8,13,7.7,7.2,1.9,0.4,7.2,16.4,0.6,0.3,0.9,0.052,-0.4,-1.3,-1.7,0.1,10.33333333,227.2,1378242,1628422,21
131,PJ Dozier,G,22,BOS,4,0,10,3,6,0.5,1,2,0.5,2,4,0.5,0.583,0,0,,2,2,4,0,0,0,0,1,7,25,0.583,0.333,0,21.2,21.6,21.4,0,0,0,0,26,0,0,0,0.212,1,-10.6,-9.6,0,2,5.6,0,1628408,35
132,Goran Dragic,G,32,MIA,14,14,408,77,188,0.41,22,70,0.314,55,118,0.466,0.468,38,50,0.76,8,35,43,68,10,4,35,30,214,13.4,0.51,0.372,0.266,2,9,5.5,26.7,1.2,0.8,14.3,25.4,0.1,0.4,0.4,0.052,-0.5,-1.9,-2.4,0,13.5,137.9,18109175,201609,7
133,Andre Drummond,C,25,DET,40,40,1327,281,561,0.501,4,28,0.143,277,533,0.52,0.504,103,201,0.512,206,389,595,50,62,71,104,139,669,20.3,0.515,0.05,0.358,16,33.3,24.2,6.4,2.3,4.5,13.8,24.1,0.4,2.6,3,0.109,-2.7,3,0.3,0.8,23.975,597.5,25434263,203083,0
134,Jared Dudley,F,33,BKN,43,25,944,77,190,0.405,39,121,0.322,38,69,0.551,0.508,22,35,0.629,25,95,120,65,28,13,37,105,215,7.2,0.523,0.637,0.184,2.8,11,6.9,9.4,1.4,1.1,15.3,11,0.2,0.7,0.9,0.044,-1.8,0.6,-1.2,0.2,7.093023256,157.2,9530000,201162,6
135,Kris Dunn,G,24,CHI,16,14,486,92,193,0.477,9,25,0.36,83,168,0.494,0.5,22,29,0.759,1,71,72,108,22,3,39,62,215,15,0.522,0.13,0.15,0.2,16.1,8.1,37.1,2.2,0.5,15.9,22.4,0.1,0.4,0.5,0.051,-1.1,-0.3,-1.4,0.1,16.6875,171.8,4221000,1627739,32
136,Kevin Durant,F,30,GSW,42,42,1497,408,805,0.507,77,209,0.368,331,596,0.555,0.555,292,320,0.913,20,288,308,257,33,44,141,79,1185,25.5,0.626,0.26,0.398,1.5,20.2,11.2,27.5,1.1,2.5,13,31.1,4.9,1.6,6.5,0.208,4.6,0.1,4.8,2.5,23.47619048,945,30000000,201142,35
138,Henry Ellenson,F,22,DET,2,0,25,4,10,0.4,2,4,0.5,2,6,0.333,0.5,2,2,1,0,9,9,1,0,0,0,2,12,14.9,0.551,0.4,0.2,0,40.9,19.4,6.2,0,0,0,18.4,0,0,0.1,0.144,-3.6,-2.8,-6.4,0,8,9.2,1857480,1627740,8
139,Wayne Ellington,G,31,MIA,20,10,453,54,151,0.358,46,126,0.365,8,25,0.32,0.51,11,13,0.846,6,36,42,27,21,3,13,34,165,10.2,0.526,0.834,0.086,1.4,8.4,4.8,8.6,2.3,0.6,7.7,15.9,0.3,0.5,0.8,0.081,0.2,-0.6,-0.4,0.2,9,110.5,6270000,201961,2
140,Joel Embiid,C,24,PHI,40,40,1348,356,727,0.49,46,153,0.301,310,574,0.54,0.521,319,396,0.806,93,445,538,140,23,75,140,133,1077,25.6,0.598,0.21,0.545,7.6,34.4,21.4,17.9,0.8,4.4,13.4,32.6,3.1,2.3,5.3,0.19,1.6,1.8,3.4,1.8,25.95,858.6,25467250,203954,21
141,James Ennis,F,28,HOU,28,22,644,74,149,0.497,32,88,0.364,42,61,0.689,0.604,25,38,0.658,26,48,74,19,23,11,17,82,205,11.1,0.619,0.591,0.255,4.4,8.7,6.5,4.4,1.8,1.4,9.3,12.5,1,0.3,1.3,0.097,0.3,-0.6,-0.3,0.3,7.714285714,151.9,1621415,203516,8
142,Drew Eubanks,F,21,SAS,10,0,42,9,12,0.75,0,0,,9,12,0.75,0.75,6,8,0.75,1,9,10,1,1,0,2,4,24,21.2,0.773,0,0.667,2.7,23.1,13.1,3.6,1.2,0,11.4,18.4,0.1,0,0.2,0.211,0.3,-2.7,-2.4,0,1.9,19.9,,1629234,14
143,Jacob Evans,G,21,GSW,21,0,92,6,23,0.261,1,6,0.167,5,17,0.294,0.283,0,1,0,1,7,8,11,1,1,5,13,13,-0.8,0.277,0.261,0.043,1.2,8,4.7,14.4,0.5,0.9,17.6,13.2,-0.2,0,-0.2,-0.103,-8.2,-2.5,-10.7,-0.2,1.095238095,0.9,1644240,1628980,10
144,Jawun Evans,G,22,PHX,4,0,46,2,10,0.2,0,2,0,2,8,0.25,0.2,0,0,,1,9,10,8,2,0,4,6,4,1,0.2,0.2,0,2.4,22.5,12.3,22.2,2.1,0,28.6,13.3,-0.2,0,-0.1,-0.136,-9.9,0.4,-9.5,-0.1,4.5,2.4,1378242,1628393,0
145,Tyreke Evans,G,29,IND,38,11,786,140,375,0.373,47,136,0.346,93,239,0.389,0.436,65,87,0.747,22,86,108,90,42,10,73,62,392,11.4,0.474,0.363,0.232,3.2,11.9,7.7,16.5,2.6,1.1,15,27,-1.2,1.3,0.1,0.004,-3.3,-0.2,-3.4,-0.3,9.578947368,232.1,12400000,201936,12
146,Dante Exum,G,23,UTA,39,1,637,101,234,0.432,18,59,0.305,83,175,0.474,0.47,68,86,0.791,15,50,65,107,14,5,46,63,288,12.8,0.53,0.252,0.368,2.6,8.5,5.6,25.5,1.1,0.6,14.5,21.6,0.5,0.7,1.1,0.086,-1.5,-1.3,-2.8,-0.1,6.769230769,204.1,9600000,203957,11
147,Kenneth Faried,F,29,BKN,12,0,118,25,42,0.595,1,5,0.2,24,37,0.649,0.607,10,16,0.625,15,29,44,2,2,4,6,8,61,21.2,0.622,0.119,0.381,13.7,26.8,20.2,2.8,0.8,2.6,10.9,20,0.3,0.1,0.4,0.162,-1.6,-2.2,-3.8,-0.1,6,55.4,13764045,202702,35
148,Derrick Favors,C,27,UTA,42,37,982,187,321,0.583,12,47,0.255,175,274,0.639,0.601,86,134,0.642,118,178,296,45,31,55,47,97,472,21,0.621,0.146,0.417,13.3,19.7,16.5,7.3,1.5,4.6,11,18.8,2.3,1.8,4.1,0.202,1.3,2.9,4.2,1.6,13.78571429,454.1,16900000,202324,15
149,Cristiano Felicio,C,26,CHI,27,0,280,33,59,0.559,0,2,0,33,57,0.579,0.559,17,23,0.739,23,56,79,14,3,2,13,25,83,12.4,0.6,0.034,0.39,9,22,15.5,7.5,0.5,0.6,15.8,13.1,0.3,0.2,0.5,0.086,-3.3,-0.9,-4.3,-0.2,4.37037037,76.6,8470980,1626245,6
150,Raymond Felton,G,34,OKC,15,0,166,28,76,0.368,6,30,0.2,22,46,0.478,0.408,8,9,0.889,3,18,21,27,6,4,11,13,70,10.9,0.438,0.395,0.118,1.8,11.4,6.5,22.7,1.7,2,12.1,22.3,-0.1,0.3,0.1,0.037,-3.9,-0.5,-4.4,-0.1,5.4,46.6,2393887,101109,2
151,Terrance Ferguson,G,20,OKC,34,34,745,64,159,0.403,35,96,0.365,29,63,0.46,0.513,13,18,0.722,17,40,57,20,16,9,18,98,176,5.3,0.527,0.604,0.113,2.3,5.6,4,3.4,1,1,9.7,10.1,0.2,0.8,1,0.067,-2.7,0.2,-2.6,-0.1,5.382352941,91.3,2118840,1628390,23
152,Yogi Ferrell,G,25,SAC,32,2,447,69,155,0.445,23,61,0.377,46,94,0.489,0.519,29,33,0.879,3,42,45,54,13,3,14,23,190,13.7,0.56,0.394,0.213,0.7,10,5.2,16,1.3,0.6,7.6,17,0.7,0.2,0.9,0.095,0,-2.3,-2.3,0,6.03125,151.9,3000000,1627812,3
153,Dorian Finney-Smith,F,25,DAL,42,11,1025,112,254,0.441,41,124,0.331,71,130,0.546,0.522,45,66,0.682,67,116,183,28,40,22,38,101,310,10.7,0.548,0.488,0.26,7.2,11.9,9.6,3.9,1.9,1.8,11.8,13.3,0.7,1.2,1.9,0.087,-0.9,1.2,0.4,0.6,9.238095238,246.9,1544951,1627827,10
154,Bryn Forbes,G,25,SAS,43,43,1215,199,428,0.465,95,218,0.436,104,210,0.495,0.576,40,46,0.87,8,108,116,99,27,2,51,95,533,12.5,0.595,0.509,0.107,0.7,9.6,5.2,11.6,1.1,0.1,10.2,18.1,1.3,0.7,2.1,0.082,1.6,-1.8,-0.2,0.5,11.3255814,357.3,3125000,1627854,11
155,Evan Fournier,G,26,ORL,40,40,1215,222,521,0.426,82,241,0.34,140,280,0.5,0.505,60,79,0.759,19,100,119,142,33,8,86,115,586,11.6,0.527,0.463,0.152,1.7,9.1,5.3,18.8,1.3,0.5,13.4,23.4,-0.3,0.9,0.6,0.022,-0.6,-1.8,-2.4,-0.1,13,351.8,17000000,203095,10
156,De'Aaron Fox,G,21,SAC,42,42,1326,272,571,0.476,48,126,0.381,224,445,0.503,0.518,158,221,0.715,24,123,147,307,75,23,129,106,750,19,0.561,0.221,0.387,1.8,9.8,5.7,32.9,2.6,1.5,16.2,24.9,1.9,1.2,3.1,0.111,1.8,-0.4,1.4,1.1,17.69047619,622.2,5470920,1628368,5
157,Melvin Frazier,G,22,ORL,3,0,16,0,3,0,0,1,0,0,2,0,0,0,0,,0,1,1,0,1,0,1,3,0,-9.7,0,0.333,0,0,6.9,3.4,0,3.1,0,25,11.1,-0.1,0,-0.1,-0.244,-14.3,0.4,-13.9,0,0.333333333,-3,1050000,1628982,35
158,Tim Frazier,G,28,NOP,33,17,652,61,135,0.452,23,59,0.39,38,76,0.5,0.537,17,22,0.773,22,71,93,142,18,3,44,68,162,11.2,0.56,0.437,0.163,3.7,11.3,7.6,26.7,1.3,0.4,23.3,12,0.8,0.3,1,0.077,-0.3,-1.5,-1.8,0,8.96969697,174.9,1621415,204025,10
159,Channing Frye,C,35,CLE,21,5,200,25,69,0.362,20,49,0.408,5,20,0.25,0.507,6,7,0.857,3,28,31,10,4,3,9,27,76,8.7,0.527,0.71,0.101,1.6,16.3,8.7,7.4,1,1.3,11.1,17.9,0,0,0,0.002,-1.8,-3.4,-5.2,-0.2,4,41.1,2393887,101112,9
